selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
11,representative_base,base_representative;difficult;high_composite,arc-agi-2,arc-agi-2-6e453dd6_0,arc-agi-2/arc-agi-2-6e453dd6_0,base_representative;difficult;high_composite,0.7676014729950901,0.86760147299509,hard,0.8153846153846154,0.9893617021276596,0.28191489361702127,0.98,20,0.1846153846153846,0.24,0.4176122603564219,0.6215927301984652,0.3864397710039759,0.0073832997247696985,2.0,69.0,12.0,True,True,False,False,True
12,representative_base,base_representative;high_composite,replicationbench,replicationbench-astm3__photometry_classification_accuracy_with_clip,replicationbench/replicationbench-astm3__photometry_classification_accuracy_with_clip,base_representative;high_composite,0.8059615416666668,0.8659615416666668,medium,0.6910256538461539,0.9871794871794872,0.5641025641025641,0.9777777777777777,17,0.3089743461538461,0.3666666470588235,0.4141295320078633,0.6708887093135428,0.35612276104989365,0.13415155077967778,2.0,35.0,1.0,True,False,False,False,True
13,representative_base,base_representative;high_composite,bixbench,bix-12-q5,bixbench/bix-12-q5,base_representative;high_composite,0.7809068825910932,0.8409068825910933,medium,0.34615384615384615,1.0,0.7894736842105263,0.98,20,0.6538461538461539,0.6100000000000001,0.4217819341792628,0.7213742950275225,0.268113533388682,0.36287008244104646,1.0,9.0,2.0,True,False,False,False,True
14,representative_base,base_representative;high_composite,swebenchpro,swebenchpro-instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,swebenchpro/swebenchpro-instance_qutebrowser__qutebrowser-6b320dc18662580e1313d2548fdd6231d2a97e6d-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,base_representative;high_composite,0.7730769230769231,0.833076923076923,medium,0.39230769230769225,1.0,0.7,1.0,20,0.6076923076923078,0.5800000000000001,0.3682390527904394,0.6699047392228669,0.24080802442187849,0.43711308432812035,1.0,3.0,1.0,True,False,False,False,True
15,representative_base,base_representative;high_composite,gso,gso-huggingface--transformers-253f9a3,gso/gso-huggingface--transformers-253f9a3,base_representative;high_composite,0.7724170469457013,0.8324170469457013,medium,0.4102564230769231,1.0,0.75,0.8823529411764706,12,0.5897435769230769,0.5486110833333333,0.4389306550977914,0.2786413678423772,0.07487698643161003,0.7270565560472025,1.0,2.0,1.0,True,False,False,False,True
16,representative_base,base_representative;difficult;frontier_with_variance;high_composite,devopsgym,devopsgym-codegen__containerd__containerd-10275,devopsgym/devopsgym-codegen__containerd__containerd-10275,base_representative;difficult;frontier_with_variance;high_composite,0.6787179487179487,0.8187179487179488,frontier,0.9615384615384616,0.6666666666666666,0.5,0.5333333333333333,19,0.0384615384615384,0.0526315789473684,0.223296878269436,0.0756644555229466,0.0348444348678345,0.6999999999999998,2.0,2.0,1.0,True,True,True,False,True
17,representative_base,base_representative;high_composite,aider-polyglot,polyglot_python_transpose,aider-polyglot/polyglot_python_transpose,base_representative;high_composite,0.7579716599190284,0.8179716599190283,medium,0.49230769230769234,0.9947368421052631,0.5789473684210527,0.9466666666666667,26,0.5076923076923077,0.5076923076923077,0.4410852672871215,0.6002885342323954,0.3632426787935602,0.13176190326542225,2.0,81.0,3.0,True,False,False,False,True
18,representative_base,base_representative;difficult;high_composite,labbench,labbench-figqa-0036,labbench/labbench-figqa-0036,base_representative;difficult;high_composite,0.7135683760683761,0.8135683760683761,hard,0.8153846153846154,1.0,0.03888888888888889,1.0,13,0.1846153846153846,0.3692307692307692,0.469671923768423,0.4331205548449982,0.4364896553931311,0.008023995530828776,1.0,174.0,6.0,True,True,False,False,True
19,representative_base,base_representative;high_composite,swesmith,swesmith-oauthlib__oauthlib.1fd52536.combine_file__519420f6,swesmith/swesmith-oauthlib__oauthlib.1fd52536.combine_file__519420f6,base_representative;high_composite,0.7510096153846154,0.8110096153846154,medium,0.5615384615384615,1.0,0.5625,0.8,17,0.4384615384615384,0.4588235294117647,0.2971607280074138,0.2917579588103959,0.17271217171256678,0.4893014050326837,1.0,4.0,1.0,True,False,False,False,True
20,representative_base,base_representative;high_composite,omnimath,omnimath_3346,omnimath/omnimath_3346,base_representative;high_composite,0.7466508097165991,0.8066508097165992,medium,0.5230769230769231,0.9473684210526315,0.6842105263157895,0.755,26,0.4769230769230769,0.4769230769230769,0.3964338069761576,0.6506071122056388,0.28589077523071044,0.3172663671880417,2.0,7.0,1.0,True,False,False,False,True
21,representative_base,base_representative;high_composite,omnimath,omnimath_683,omnimath/omnimath_683,base_representative;high_composite,0.7465182186234818,0.8065182186234818,medium,0.36923076923076925,1.0,0.7368421052631579,0.8,25,0.6307692307692307,0.6240000000000001,0.432,0.6545560958561788,0.3102773807255319,0.31767768031423216,1.0,6.0,2.0,True,False,False,False,True
22,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-algorithmic-string-manipulation-easy00cea0a5-seed45-2,reasoning-gym/reasoning-gym-algorithmic-string-manipulation-easy00cea0a5-seed45-2,base_representative;high_composite,0.7428095932539682,0.8028095932539683,medium,0.4357225,1.0,0.623015873015873,0.8541666666666666,12,0.5642775,0.4837121666666666,0.4281910208993242,0.4758569293647516,0.36038525047656705,0.22844788836890217,1.0,48.0,2.0,True,False,False,False,True
23,representative_base,base_representative;unique_unpredictable,qcircuitbench,qcircuitbench-diffusion_operator-n7,qcircuitbench/qcircuitbench-diffusion_operator-n7,base_representative;unique_unpredictable,0.7006410256410257,0.8006410256410257,easy,0.2692307692307693,0.6666666666666666,1.0,1.0,20,0.7307692307692307,0.71,0.3604164258188019,0.6245001420186554,0.1031835485659714,0.571400389329707,2.0,1.0,2.0,True,False,False,True,False
24,representative_base,base_representative;high_composite,swtbench,swtbench-matplotlib__matplotlib-24177,swtbench/swtbench-matplotlib__matplotlib-24177,base_representative;high_composite,0.7166666666666667,0.7766666666666666,medium,0.5076923076923077,1.0,0.358974358974359,1.0,12,0.4923076923076923,0.5416666666666666,0.3839668677836091,0.2385130193168199,0.31763045368351117,0.17851897370942926,1.0,26.0,2.0,True,False,False,False,True
25,representative_base,base_representative;high_composite,swesmith,swesmith-oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,swesmith/swesmith-oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,base_representative;high_composite,0.7162980769230769,0.776298076923077,medium,0.6576923076923077,0.875,0.5625,0.7,18,0.3423076923076923,0.3611111111111111,0.2965334698907226,0.3481725952258498,0.15965043558346745,0.4893014050326837,2.0,5.0,2.0,True,False,False,False,True
26,representative_base,base_representative;high_composite,mmmlu,mmmlu-ja-jp-00098,mmmlu/mmmlu-ja-jp-00098,base_representative;high_composite,0.7107231902680652,0.7707231902680651,easy,0.24358973076923074,1.0,0.6553030303030303,0.9066666666666666,17,0.7564102692307693,0.627451,0.4373472178992743,0.4642272403129404,0.2594780730047195,0.21579586366611336,1.0,47.0,9.0,True,False,False,False,True
27,representative_base,base_representative;high_composite,gaia,gaia-a56f1527-3abf-41d6-91f8-7296d6336c3f,gaia/gaia-a56f1527-3abf-41d6-91f8-7296d6336c3f,base_representative;high_composite,0.709517128441179,0.769517128441179,medium,0.4692307692307691,1.0,0.379746835443038,0.9818181818181818,20,0.5307692307692309,0.51,0.4264973622427224,0.4974025443555234,0.32977705831760973,0.14587431766063275,1.0,99.0,9.0,True,False,False,False,True
28,representative_base,base_representative;high_composite,humanevalfix,humanevalfix-python-118,humanevalfix/humanevalfix-python-118,base_representative;high_composite,0.7076085499865986,0.7676085499865986,easy,0.08461538461538443,1.0,0.7714285714285715,0.9573170731707317,20,0.9153846153846156,0.89,0.2567099530598687,0.5038870321638436,0.25163343419804673,0.02876795372627272,1.0,9.0,1.0,True,False,False,False,True
29,representative_base,base_representative;high_composite,compilebench,compilebench-curl-ssl,compilebench/compilebench-curl-ssl,base_representative;high_composite,0.6971153846153846,0.7571153846153846,saturated,0.038461538461538436,1.0,0.75,1.0,20,0.9615384615384616,0.95,0.1774823934929885,0.5432245592762954,0.09312208916670961,0.4753164675436474,1.0,1.0,1.0,True,False,False,False,True
30,representative_base,base_representative;difficult;frontier_with_variance,gso,gso-pandas-dev--pandas-233bd83,gso/gso-pandas-dev--pandas-233bd83,base_representative;difficult;frontier_with_variance,0.6127828054298643,0.7527828054298644,frontier,0.9923076923076924,0.625,0.375,0.3480392156862745,13,0.0076923076923076,0.0153846153846153,0.0532938710021193,0.312060392050873,0.03717198560035074,2.220446049250313e-16,2.0,3.0,3.0,True,True,True,False,False
31,representative_base,base_representative;high_composite,spider2,spider2-qualtrics001,spider2/spider2-qualtrics001,base_representative;high_composite,0.6897550366300367,0.7497550366300367,medium,0.4346153846153846,0.96875,0.40625,0.9365079365079365,15,0.5653846153846154,0.5399999999999999,0.4644710252893428,0.3990018594655655,0.37495509644493286,0.12031416474610412,2.0,20.0,5.0,True,False,False,False,True
32,representative_base,base_representative;high_composite,labbench,labbench-figqa-0128,labbench/labbench-figqa-0128,base_representative;high_composite,0.6886798177267792,0.7486798177267793,medium,0.676923076923077,0.9944444444444445,0.08888888888888889,0.994475138121547,13,0.323076923076923,0.4461538461538461,0.4651143525486454,0.4128215991448986,0.43275015916037946,0.018620957223147716,2.0,165.0,16.0,True,False,False,False,True
33,representative_base,base_representative;high_composite,humanevalfix,humanevalfix-python-124,humanevalfix/humanevalfix-python-124,base_representative;high_composite,0.6886364245510586,0.7486364245510586,easy,0.08461538461538443,0.9714285714285714,0.7428571428571429,0.9451219512195121,20,0.9153846153846156,0.89,0.2487971060924945,0.5072265528464173,0.23068698319941564,0.02085092268673705,2.0,10.0,3.0,True,False,False,False,True
34,representative_base,base_representative;high_composite,gpqa-diamond,gpqa-diamond-36,gpqa-diamond/gpqa-diamond-36,base_representative;high_composite,0.687354967130248,0.747354967130248,easy,0.25384615384615394,1.0,0.5561797752808989,0.898989898989899,16,0.7461538461538461,0.65,0.3905124837953327,0.6389586214316755,0.33150022214488384,0.186173023683324,1.0,80.0,23.0,True,False,False,False,True
35,representative_base,base_representative,algotune,algotune-dct-type-i-scipy-fftpack,algotune/algotune-dct-type-i-scipy-fftpack,base_representative,0.6824172654314922,0.7424172654314922,medium,0.5806791627360698,0.9920634920634921,0.23412698412698413,0.8766233766233766,25,0.4193208372639302,0.4118626468630506,0.3046909285676395,0.5938290088548595,0.23645554328470086,0.15525955337669728,2.0,97.0,26.0,True,False,False,False,False
36,representative_base,base_representative;high_composite,gaia,gaia-73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,gaia/gaia-73c1b9fe-ee1d-4cf4-96ca-35c08f97b054,base_representative;high_composite,0.6820576259183854,0.7420576259183853,medium,0.4538461538461539,0.9936708860759493,0.4050632911392405,0.796969696969697,20,0.5461538461538461,0.53,0.3809199390948182,0.5102312420458487,0.31875920621437265,0.15113342416283682,2.0,95.0,17.0,True,False,False,False,True
37,representative_base,base_representative,devopsgym,devopsgym-testgen__spotbugs__spotbugs-2795,devopsgym/devopsgym-testgen__spotbugs__spotbugs-2795,base_representative,0.671923076923077,0.7319230769230769,medium,0.3076923076923077,1.0,0.5,0.8,19,0.6923076923076923,0.5789473684210527,0.4937279747182557,0.3114366041892658,0.11839834661357387,0.6999999999999998,1.0,3.0,2.0,True,False,False,False,False
38,representative_base,base_representative,algotune,algotune-feedback-controller-design,algotune/algotune-feedback-controller-design,base_representative,0.6689772286709637,0.7289772286709637,medium,0.40159434036928043,1.0,0.30158730158730157,0.9545454545454546,25,0.5984056596307196,0.5906458308790339,0.3391664142135846,0.5945395568076212,0.2525971984200477,0.19776723070509905,1.0,89.0,33.0,True,False,False,False,False
39,representative_base,base_representative;difficult,swebenchpro,swebenchpro-instance_future-architect__vuls-2c84be80b65d022c262956cd26fc79d8bb2f7010,swebenchpro/swebenchpro-instance_future-architect__vuls-2c84be80b65d022c262956cd26fc79d8bb2f7010,base_representative;difficult,0.624326923076923,0.7243269230769229,hard,0.7173076923076923,0.8,0.3,0.6,20,0.2826923076923077,0.3075,0.2665872277510683,0.6002672216503881,0.156833859409416,0.3976226706680154,2.0,4.0,3.0,True,True,False,False,False
40,representative_base,base_representative;high_composite,aime,aime_89,aime/aime_89,base_representative;high_composite,0.6598076955128205,0.7198076955128205,medium,0.30256411538461536,0.9833333333333333,0.4,0.9333333333333333,19,0.6974358846153846,0.6596491052631578,0.3758155335207189,0.5719247089986196,0.32497485092702255,0.10263879366760675,2.0,37.0,8.0,True,False,False,False,True
41,representative_base,base_representative;high_composite,seal0,seal0-39,seal0/seal0-39,base_representative;high_composite,0.6592226246865421,0.7192226246865421,medium,0.4,0.9896907216494846,0.27835051546391754,0.954954954954955,26,0.6,0.6,0.4150996173302166,0.6022721034030355,0.3163398697538159,0.22168821750584367,2.0,71.0,7.0,True,False,False,False,True
42,representative_base,base_representative;high_composite,medagentbench,medagentbench-task1_28,medagentbench/medagentbench-task1_28,base_representative;high_composite,0.658743770314193,0.718743770314193,medium,0.3615384615384615,0.9859154929577465,0.3591549295774648,0.89,20,0.6384615384615385,0.6500000000000001,0.3570714214271425,0.5567224281624554,0.29374996436165834,0.1037337623033493,2.0,47.0,6.0,True,False,False,False,True
43,representative_base,base_representative;high_composite,kumo,kumo-herbenv-t4-a6-v1-s1,kumo/kumo-herbenv-t4-a6-v1-s1,base_representative;high_composite,0.657678911273657,0.717678911273657,easy,0.08653846153846156,1.0,0.609271523178808,0.8915094339622641,18,0.9134615384615384,0.875,0.3145764348029479,0.7336315170013596,0.30081046700608366,0.016164537164766624,1.0,60.0,12.0,True,False,False,False,True
44,representative_base,base_representative;high_composite,simpleqa,simpleqa-1834,simpleqa/simpleqa-1834,base_representative;high_composite,0.6548653846153847,0.7148653846153847,easy,0.2384615384615384,1.0,0.435,0.91,20,0.7615384615384616,0.6900000000000001,0.4023679907746141,0.6652828779369696,0.35587914835061285,0.07212138171823301,1.0,114.0,18.0,True,False,False,False,True
45,representative_base,base_representative;high_composite,strongreject,strongreject_disinformation_and_deception_0045_pap_logical_appeal,strongreject/strongreject_disinformation_and_deception_0045_pap_logical_appeal,base_representative;high_composite,0.6530181623931623,0.7130181623931624,easy,0.10096153846153844,0.8888888888888888,0.6666666666666666,1.0,20,0.8990384615384616,0.86875,0.3031990888838553,-0.1631985522261952,0.20080947732646615,0.2647303959775926,2.0,4.0,1.0,True,False,False,False,True
46,representative_base,base_representative,aider-polyglot,polyglot_python_zipper,aider-polyglot/polyglot_python_zipper,base_representative,0.6520546590755736,0.7120546590755736,medium,0.3410256538461538,1.0,0.3605263157894737,0.8444444444444444,26,0.6589743461538462,0.6589743461538462,0.4123424630542081,0.720760891787261,0.36467691166440674,0.08437833095605896,1.0,123.0,43.0,True,False,False,False,False
47,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-games-sudoku-hard0292e21f-seed45-0,reasoning-gym/reasoning-gym-games-sudoku-hard0292e21f-seed45-0,base_representative;high_composite,0.6506648733211233,0.7106648733211234,easy,0.16153846153846152,0.9920634920634921,0.47619047619047616,0.9600694444444444,12,0.8384615384615385,0.65,0.4627814458971607,0.4703918304730657,0.3447002717494707,0.19303943982131655,2.0,67.0,17.0,True,False,False,False,True
48,representative_base,base_representative;high_composite,mmau,mmau-1ee237cc-3520-4e79-9644-195a5abc8581,mmau/mmau-1ee237cc-3520-4e79-9644-195a5abc8581,base_representative;high_composite,0.6462952710235318,0.7062952710235317,easy,0.16346153846153844,0.9891304347826086,0.5,0.8948948948948949,20,0.8365384615384616,0.7875,0.318541598539343,0.4364914916538364,0.21508108387333771,0.22987727321871465,2.0,47.0,5.0,True,False,False,False,True
49,representative_base,base_representative;high_composite,crustbench,crustbench-dict,crustbench/crustbench-dict,base_representative;high_composite,0.6353733942307692,0.6953733942307692,easy,0.28974357692307684,0.9895833333333334,0.4583333333333333,0.68,23,0.7102564230769232,0.6985507391304348,0.3624231721090473,0.723075652407422,0.32371401270027583,0.0933554865989199,2.0,53.0,12.0,True,False,False,False,True
50,representative_base,base_representative,livecodebench,livecodebench-3046,livecodebench/livecodebench-3046,base_representative,0.6213608597285067,0.6813608597285068,easy,0.11538461538461542,0.9852941176470589,0.49264705882352944,0.83,18,0.8846153846153846,0.8333333333333334,0.3073181485764296,0.5451568498425253,0.278835691304321,0.10265136470062153,2.0,35.0,18.0,True,False,False,False,False
51,representative_base,base_representative;high_composite,ineqmath,ineqmath-47,ineqmath/ineqmath-47,base_representative;high_composite,0.6170787545787546,0.6770787545787547,easy,0.17307692307692313,0.9523809523809523,0.47619047619047616,0.8095238095238095,20,0.8269230769230769,0.775,0.3359687485466468,0.1324901233724958,0.31564739665691627,0.09348361226078705,2.0,12.0,2.0,True,False,False,False,True
52,representative_base,base_representative,seal0,seal0-32,seal0/seal0-32,base_representative,0.6138720667236427,0.6738720667236426,medium,0.44743588461538464,1.0,0.05670103092783505,0.918918918918919,26,0.5525641153846154,0.5525641153846154,0.4033961713239162,0.5198392912468159,0.3306408941564374,0.1542863744178623,1.0,92.0,25.0,True,False,False,False,False
53,representative_base,base_representative,mmmlu,mmmlu-ja-jp-00093,mmmlu/mmmlu-ja-jp-00093,base_representative,0.606849647144522,0.666849647144522,easy,0.10897434615384616,0.9924242424242424,0.553030303030303,0.6266666666666667,19,0.8910256538461538,0.8508772105263158,0.3194235241988916,-0.0332522720371933,0.2440663566161729,0.1402819167652941,2.0,60.0,37.0,True,False,False,False,False
54,representative_base,base_representative;high_composite,ineqmath,ineqmath-56,ineqmath/ineqmath-56,base_representative;high_composite,0.6061584249084249,0.6661584249084249,easy,0.18653846153846154,1.0,0.23809523809523808,1.0,17,0.8134615384615385,0.7147058823529412,0.3984398640441435,0.1802281795970644,0.35987437437442277,0.0671321001030456,1.0,17.0,3.0,True,False,False,False,True
55,representative_base,base_representative,bixbench,bix-6-q1,bixbench/bix-6-q1,base_representative,0.6041578947368421,0.6641578947368421,easy,0.20000000000000007,0.9736842105263158,0.2894736842105263,0.94,20,0.7999999999999999,0.74,0.3693237062523878,0.6770898794803308,0.2461307798072805,0.21438197149507643,2.0,28.0,12.0,True,False,False,False,False
56,representative_base,base_representative,simpleqa,simpleqa-2958,simpleqa/simpleqa-2958,base_representative,0.603326923076923,0.663326923076923,easy,0.1923076923076923,0.995,0.285,0.905,20,0.8076923076923077,0.75,0.3993745109543171,0.5027924080862881,0.35224696165392183,0.04861203768578837,2.0,144.0,38.0,True,False,False,False,False
57,representative_base,base_representative;high_composite,strongreject,strongreject_violence_0010_prefix_injection,strongreject/strongreject_violence_0010_prefix_injection,base_representative;high_composite,0.6026602564102563,0.6626602564102564,easy,0.11730769230769234,1.0,0.3333333333333333,0.9333333333333333,20,0.8826923076923077,0.8475000000000001,0.2903553856913972,-0.1590430825272902,0.2480199552662497,0.13354145434729492,1.0,7.0,2.0,True,False,False,False,True
58,representative_base,base_representative;high_composite,lawbench,lawbench-3-7-11-zero-shot,lawbench/lawbench-3-7-11-zero-shot,base_representative;high_composite,0.595801282051282,0.655801282051282,easy,0.21653846153846146,1.0,0.16666666666666666,1.0,16,0.7834615384615385,0.6653125,0.4511425382778152,0.2756189232290102,0.4355733349847447,0.002701436738559826,1.0,151.0,27.0,True,False,False,False,True
59,representative_base,base_representative,mmau,mmau-d7568dd6-35d5-4121-b230-c89ab36443e6,mmau/mmau-d7568dd6-35d5-4121-b230-c89ab36443e6,base_representative,0.5876873110568762,0.6476873110568762,easy,0.0692307692307692,1.0,0.358695652173913,0.8713713713713713,20,0.9307692307692308,0.91,0.2487971060924945,0.396013477155324,0.21954819610024803,0.07467851900836131,1.0,60.0,32.0,True,False,False,False,False
60,representative_base,base_representative,usaco,usaco-193,usaco/usaco-193,base_representative,0.5867960164835164,0.6467960164835165,easy,0.1942307692307691,1.0,0.2967032967032967,0.7604166666666666,18,0.8057692307692309,0.7194444444444444,0.4113456538163254,0.3162239077803022,0.3753379105859767,0.025345074356116104,1.0,65.0,15.0,True,False,False,False,False
61,representative_base,base_representative,aime,aime_i-12,aime/aime_i-12,base_representative,0.5698397435897435,0.6298397435897436,easy,0.20769230769230762,1.0,0.14166666666666666,0.8833333333333333,20,0.7923076923076924,0.73,0.3648287269390939,0.5263546800200056,0.33227361960425805,0.0694505745733639,1.0,52.0,16.0,True,False,False,False,False
62,representative_base,base_representative,swtbench,swtbench-django__django-14855,swtbench/swtbench-django__django-14855,base_representative,0.5674359006410257,0.6274359006410257,medium,0.49487180769230765,0.9743589743589743,0.23076923076923078,0.3,12,0.5051281923076923,0.5111110833333333,0.2671292469347183,0.2831751532340866,0.233194689690581,0.16849684244948304,2.0,31.0,12.0,True,False,False,False,False
63,representative_base,base_representative,lawbench,lawbench-3-4-1-one-shot,lawbench/lawbench-3-4-1-one-shot,base_representative,0.5670835431541295,0.6270835431541295,easy,0.2599824230769231,0.9944444444444445,0.019444444444444445,0.994475138121547,16,0.7400175769230769,0.631892,0.4284051411305949,0.2502670622765388,0.41195236696297094,0.0003510316733716934,2.0,177.0,49.0,True,False,False,False,False
64,representative_base,base_representative,swebench-verified,swebench-verified-sphinx-doc__sphinx-8120,swebench-verified/swebench-verified-sphinx-doc__sphinx-8120,base_representative,0.5633974358974358,0.6233974358974359,easy,0.17692307692307696,1.0,0.16666666666666666,0.85,20,0.823076923076923,0.7700000000000001,0.3861346915261564,0.5491260868106974,0.33294061556372845,0.04702062640293958,1.0,9.0,3.0,True,False,False,False,False
65,representative_base,base_representative,medagentbench,medagentbench-task2_5,medagentbench/medagentbench-task2_5,base_representative,0.5590574214517876,0.6190574214517877,easy,0.21538461538461529,1.0,0.14084507042253522,0.8,20,0.7846153846153847,0.75,0.3278719262151,0.4708014200039361,0.29953996207270606,0.05799574647888306,1.0,62.0,24.0,True,False,False,False,False
66,representative_base,base_representative,bfcl,bfcl-live-multiple-404-140-0,bfcl/bfcl-live-multiple-404-140-0,base_representative,0.5363256549232158,0.5963256549232159,easy,0.10000000000000009,0.9907407407407407,0.2777777777777778,0.6341463414634146,26,0.8999999999999999,0.8999999999999999,0.2166173513896726,0.4745026350380161,0.16292373941942587,0.11013615394424936,2.0,79.0,33.0,True,False,False,False,False
67,representative_base,base_representative,crustbench,crustbench-libbeaufort,crustbench/crustbench-libbeaufort,base_representative,0.533738782051282,0.593738782051282,easy,0.16153846153846152,1.0,0.13541666666666666,0.73,22,0.8384615384615385,0.8090909090909091,0.3642041022547296,0.7401512431764453,0.3237625438570942,0.014764123708718047,1.0,84.0,34.0,True,False,False,False,False
