selection_rank,benchmark,task_id,task_column,mix_selection_score,difficulty_tier,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation
40,crustbench,crustbench-2dpartint,crustbench/crustbench-2dpartint,1.4174325102053327,medium,22,0.4627713290352907,0.4818181818181818,0.4458254485541538,0.4792993693434866
41,bixbench,bix-12-q5,bixbench/bix-12-q5,1.4147750677485136,medium,19,0.5977986638815047,0.5973684210526315,0.4293427302929463,0.4988938759171057
42,mmau,fc224a87-54f8-4bed-9c3b-fd2190ec7bd2,mmau/fc224a87-54f8-4bed-9c3b-fd2190ec7bd2,1.413543599305324,medium,20,0.445844031418832,0.42,0.4044749683231337,0.5206070925206518
43,labbench,figqa-0146,labbench/figqa-0146,1.4130784432647578,medium,13,0.3931903343590703,0.4307692307692308,0.4139576629868834,0.5241207802778746
44,labbench,figqa-0120,labbench/figqa-0120,1.4118086455054137,medium,13,0.4248501165904971,0.4461538461538461,0.3934372877705976,0.5433713577348163
45,gaia,9d191bce-651d-4746-be2d-7ef8ecadb9c2,gaia/9d191bce-651d-4746-be2d-7ef8ecadb9c2,1.408580299741669,medium,20,0.5282429890413087,0.5499999999999999,0.4043513323831146,0.5157674288970159
46,gpqa-diamond,27,gpqa-diamond/27,1.403732908847439,medium,20,0.6239513759964369,0.6100000000000001,0.3433656942677879,0.5719056761181126
47,labbench,figqa-0112,labbench/figqa-0112,1.400354352633987,medium,13,0.6060067867383918,0.5846153846153848,0.3370600353877945,0.5882943172461926
48,simpleqa,simpleqa-2837,simpleqa/simpleqa-2837,1.3968401257478855,medium,20,0.6798271174288566,0.68,0.3249615361854384,0.5834170511009086
49,labbench,figqa-0075,labbench/figqa-0075,1.3938241065124972,medium,13,0.3960298743145409,0.4461538461538461,0.3855373564966667,0.5332867500158306
50,simpleqa,simpleqa-1834,simpleqa/simpleqa-1834,1.3867385199307034,medium,20,0.6794964915283856,0.69,0.4023679907746141,0.4959089906945507
51,bfcl,bfcl-live-multiple-685-164-1,bfcl/bfcl-live-multiple-685-164-1,1.3858104505130282,medium,26,0.3153846153846154,0.3153846153846154,0.3968067808162748,0.4890036696967534
52,crustbench,crustbench-morton,crustbench/crustbench-morton,1.3827117783974088,medium,22,0.5794015601303275,0.5909090909090908,0.3836535972001671,0.5067504888895493
53,gaia,df6561b2-7ee5-4540-baab-5095f742716a,gaia/df6561b2-7ee5-4540-baab-5095f742716a,1.3771668260516674,medium,20,0.5233709208754408,0.51,0.431161222746202,0.4575440648439268
54,crustbench,crustbench-libpsbt,crustbench/crustbench-libpsbt,1.3705854497465997,medium,22,0.4402744491044333,0.4545454545454545,0.4097973698030779,0.4684803876358295
55,mmmlu,mmmlu-ko-kr-00108,mmmlu/mmmlu-ko-kr-00108,1.364062476940818,medium,20,0.621825413752625,0.625,0.4366062299143245,0.4389947085649551
56,mmau,a68348a7-68ea-4c79-800c-7c870eb15f0a,mmau/a68348a7-68ea-4c79-800c-7c870eb15f0a,1.3623403315379892,medium,20,0.5544569077416555,0.5325,0.3735890121510535,0.5002897809253971
57,simpleqa,simpleqa-1848,simpleqa/simpleqa-1848,1.3607904746511985,medium,20,0.6146326816889505,0.62,0.3682390527904394,0.5040898833992206
58,mmau,8c63d22f-b37e-4873-aef6-c6b44bbc36e6,mmau/8c63d22f-b37e-4873-aef6-c6b44bbc36e6,1.355951951440398,medium,20,0.4907744351619513,0.5299999999999999,0.3809199390948181,0.4865704738840414
59,mmau,760e99b1-09aa-479b-b90d-c3c581076e0d,mmau/760e99b1-09aa-479b-b90d-c3c581076e0d,1.3512080290591302,medium,20,0.5541975135871066,0.56,0.431740662898458,0.4310058276991337
60,swtbench,sympy__sympy-15875,swtbench/sympy__sympy-15875,1.3422321039601783,medium,18,0.4759493510209824,0.387037,0.3771872706948396,0.480429448649954
61,swebench-multilingual,fluent__fluentd-4655,swebench-multilingual/fluent__fluentd-4655,1.341206208167783,medium,13,0.5844180095096468,0.5769230769230769,0.4741856925360751,0.392020515631708
62,swebench-multilingual,laravel__framework-48636,swebench-multilingual/laravel__framework-48636,1.337006564211848,medium,13,0.5771788947142042,0.6153846153846154,0.4865042554105199,0.3755023088013283
63,swebench-multilingual,rubocop__rubocop-13653,swebench-multilingual/rubocop__rubocop-13653,1.3364906124611897,medium,14,0.5261029254274734,0.5952381428571429,0.4573660243963498,0.402201511141763
64,medagentbench,task1_11,medagentbench/task1_11,1.3341031134882897,medium,20,0.6792033349958102,0.7100000000000001,0.3254228019054596,0.5202187731212915
65,simpleqa,simpleqa-3164,simpleqa/simpleqa-3164,1.332860974784862,medium,20,0.4216691538426233,0.475,0.3960744879438715,0.448324948379452
66,replicationbench,lensing_dr6_growth__alens,replicationbench/lensing_dr6_growth__alens,1.3292819839138414,medium,15,0.391544541923395,0.4333333333333334,0.3717824931626316,0.478653336905056
67,gpqa-diamond,42,gpqa-diamond/42,1.3291179175014338,medium,12,0.6480415652463959,0.6708333333333334,0.3710673418966189,0.4849736525278919
68,swebench-multilingual,facebook__docusaurus-9897,swebench-multilingual/facebook__docusaurus-9897,1.3290424534845986,medium,13,0.4815410666304567,0.551282076923077,0.4593967466239681,0.3946457068606305
69,replicationbench,ver_waves__gaia_breathing_typical,replicationbench/ver_waves__gaia_breathing_typical,1.3287295687495662,medium,14,0.6575928174745305,0.6714285714285715,0.3431546328418376,0.5086518589846517
70,lawbench,lawbench-2-4-13-zero-shot,lawbench/lawbench-2-4-13-zero-shot,1.3284544706582153,medium,20,0.5627284943654678,0.5529166500000001,0.1501997423340915,0.6897931898625852
71,simpleqa,simpleqa-1989,simpleqa/simpleqa-1989,1.328288491284849,medium,20,0.6902264920907513,0.71,0.3923009049186606,0.4475260479046497
72,bigcodebench,bigcodebench_1004,bigcodebench/bigcodebench_1004,1.328045406387711,medium,25,0.6591657599665015,0.65866664,0.3606512991427459,0.4693171841680419
73,swtbench,sympy__sympy-13372,swtbench/sympy__sympy-13372,1.3266645280000442,medium,21,0.5487780265474461,0.4952380952380951,0.3243692641128838,0.5119106485025449
74,gaia,4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,gaia/4d51c4bf-4b0e-4f3d-897b-3f6687a7d9f2,1.325193029445141,medium,20,0.3278435720013905,0.37,0.3702701716314724,0.4664613193521302
75,mmau,e6e02fec-0241-40d6-a0f5-7d79d60b9649,mmau/e6e02fec-0241-40d6-a0f5-7d79d60b9649,1.3216487492820568,medium,20,0.6113747418930141,0.585,0.3259984662540607,0.5071887445664575
76,swebench-multilingual,projectlombok__lombok-3312,swebench-multilingual/projectlombok__lombok-3312,1.3204799172026291,medium,12,0.599488798472779,0.625,0.462105687767059,0.3852973063586472
77,medagentbench,task10_30,medagentbench/task10_30,1.3185613745181792,medium,20,0.4668501494867837,0.4600000000000001,0.3168595903550972,0.5132402457015435
78,reasoning-gym,reasoning-gym-code-bf-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-code-bf-hard0292e21f-seed45-1,1.318333187574084,medium,20,0.5649642068071555,0.60500775,0.4128748280546871,0.4169968210578584
79,replicationbench,galaxy_manifold__evolution_tracks,replicationbench/galaxy_manifold__evolution_tracks,1.3149799858802718,medium,14,0.4328901069970383,0.4392857142857143,0.3684807474271753,0.4695761615300197
80,bigcodebench,bigcodebench_1040,bigcodebench/bigcodebench_1040,1.3038610953574135,medium,23,0.6822278118926973,0.6905797391304348,0.3829338192075602,0.426696506919084
81,gaia,42d4198c-5895-4f0a-b0c0-424a66465d83,gaia/42d4198c-5895-4f0a-b0c0-424a66465d83,1.2978379705050376,medium,20,0.5752717195515271,0.63,0.434856298103178,0.374520133940321
82,medagentbench,task1_6,medagentbench/task1_6,1.2976499212612107,medium,20,0.6143087753304651,0.65,0.3456877203488721,0.4635006624508001
83,gpqa-diamond,29,gpqa-diamond/29,1.2975676184745664,medium,12,0.3096029865068513,0.3666666666666667,0.4229525846816507,0.4015381107159927
84,replicationbench,galaxy_soptics__soptics_implementation,replicationbench/galaxy_soptics__soptics_implementation,1.2972288552509252,hard,15,0.1987329464289392,0.2933333333333333,0.4373658524495127,0.4810168489552587
85,simpleqa,simpleqa-2203,simpleqa/simpleqa-2203,1.296021465532358,medium,20,0.612326177418813,0.6075,0.3755912006424005,0.4319687264284191
86,swebench-verified,sympy__sympy-18698,swebench-verified/sympy__sympy-18698,1.2884044931260983,medium,20,0.5371771226281916,0.53,0.3363034344160048,0.463639520248555
87,bigcodebench,bigcodebench_1013,bigcodebench/bigcodebench_1013,1.2819379089100515,medium,26,0.589102576923077,0.589102576923077,0.4338493574660513,0.3480885514440002
88,swe-lancer,17163-manager-0,swe-lancer/17163-manager-0,1.2818353574770471,medium,16,0.5299040243197214,0.5375,0.4498263553861645,0.3512397713216519
89,kumo,fantasyenv-t12-a16-v1-s1,kumo/fantasyenv-t12-a16-v1-s1,1.2777821019728535,medium,20,0.6522501359211379,0.65833335,0.3969501791437151,0.3923703843675998
90,lawbench,lawbench-2-7-20-one-shot,lawbench/lawbench-2-7-20-one-shot,1.2734397609076,medium,20,0.3301418767310192,0.3330593,0.0876875271746786,0.6972906952713829
91,lawbench,lawbench-1-1-9-zero-shot,lawbench/lawbench-1-1-9-zero-shot,1.2693148827703644,medium,20,0.4842039615582215,0.49758925,0.3373761536935998,0.443477190615226
92,medagentbench,task1_19,medagentbench/task1_19,1.2676529487455124,medium,20,0.6031667995366501,0.63,0.3593048844644336,0.4198865258195403
93,lawbench,lawbench-3-6-18-one-shot,lawbench/lawbench-3-6-18-one-shot,1.266071892130181,medium,20,0.6686620051742046,0.655,0.1697203582367183,0.6078899954319242
94,lawbench,lawbench-1-1-10-zero-shot,lawbench/lawbench-1-1-10-zero-shot,1.2616836846188075,medium,20,0.4069195204685201,0.4018754999999999,0.2763454611772193,0.4968766849800496
95,reasoning-gym,reasoning-gym-games-mahjong-puzzle-hard0292e21f-seed45-0,reasoning-gym/reasoning-gym-games-mahjong-puzzle-hard0292e21f-seed45-0,1.2607089586793059,medium,20,0.5781170359891123,0.57015265,0.3756455799532686,0.3966018402644988
96,bfcl,bfcl-live-irrelevance-192-32-5,bfcl/bfcl-live-irrelevance-192-32-5,1.2600947169880172,medium,26,0.6461538461538462,0.6461538461538462,0.4011816864740091,0.3589130305140081
97,humanevalfix,python-10,humanevalfix/python-10,1.2515865310545815,easy,20,0.9006574304840206,0.8800000000000001,0.2561249694973139,0.8070000230957293
98,swesmith,oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,swesmith/oauthlib__oauthlib.1fd52536.combine_file__6cwt9dv9,1.2500960389634812,medium,17,0.5657046195901784,0.6205882352941177,0.3267751626430858,0.4406285686280876
99,medagentbench,task10_5,medagentbench/task10_5,1.2486971551440949,medium,20,0.3086060235394837,0.35,0.3154362059117501,0.4447994107708063
100,kumo,mlenv-t4-a6-v1-s0,kumo/mlenv-t4-a6-v1-s0,1.2463811047204285,easy,18,0.910584883086008,0.8888888888888888,0.3142696805273545,0.7474960395776894
101,kumo,mythicalcreatureenv-t4-a6-v1-s0,kumo/mythicalcreatureenv-t4-a6-v1-s0,1.2371193795766073,medium,17,0.5306395942820611,0.5588235882352941,0.4039882074289471,0.3504388644553525
102,medagentbench,task1_28,medagentbench/task1_28,1.233462941332881,medium,20,0.6002630834567992,0.65,0.3570714214271425,0.3879299814442001
103,bixbench,bix-12-q4,bixbench/bix-12-q4,1.2300735083783905,medium,19,0.3198788943024349,0.4026315789473684,0.3881378228530245,0.3553972239869044
104,swesmith,oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,swesmith/oauthlib__oauthlib.1fd52536.combine_file__8vq3niwz,1.2219476196500667,medium,18,0.3807860571298068,0.3611111111111111,0.2965334698907226,0.4407987651439593
105,kumo,chemicalenv-t12-a16-v1-s1,kumo/chemicalenv-t12-a16-v1-s1,1.2182984691811107,medium,20,0.6993099417097722,0.7183333000000001,0.3995101488072737,0.3303267819122984
106,humanevalfix,python-77,humanevalfix/python-77,1.2047330786295507,easy,20,0.9460834870322964,0.93,0.2304343724360582,0.785837167731954
107,bfcl,bfcl-live-simple-123-79-0,bfcl/bfcl-live-simple-123-79-0,1.2002891738338866,medium,26,0.323076923076923,0.323076923076923,0.3964338069761577,0.3038553668577288
108,livecodebench,abc325_c,livecodebench/abc325_c,1.200103332333733,easy,15,0.9319519297248304,0.92,0.2508651696296903,0.770392008857889
109,algotune,algotune-least-squares,algotune/algotune-least-squares,1.197543571577495,easy,23,0.9214155313453768,0.917391304347826,0.2258359810994878,0.7774768212472379
110,livecodebench,abc363_e,livecodebench/abc363_e,1.1946135198141277,easy,15,0.925631985395422,0.9166666666666666,0.2527625148017183,0.7630048511662557
111,bfcl,bfcl-live-parallel-multiple-8-7-0,bfcl/bfcl-live-parallel-multiple-8-7-0,1.18974130487862,medium,26,0.6923076923076923,0.6923076923076923,0.3730570970148351,0.3166842078637849
112,mmmlu,mmmlu-yo-ng-00143,mmmlu/mmmlu-yo-ng-00143,1.187481694573015,easy,18,0.8050683248720698,0.7685185555555556,0.3732526634258209,0.6296136465318094
113,swe-lancer,25562-manager-0,swe-lancer/25562-manager-0,1.1855251410759122,medium,17,0.4401295160401239,0.4117647058823529,0.3968735951396,0.3059592382440045
114,livecodebench,arc196_a,livecodebench/arc196_a,1.18539846185775,hard,14,0.2116989102645307,0.35,0.411877235523957,0.396598149410716
115,kumo,educationenv-t12-a16-v1-s1,kumo/educationenv-t12-a16-v1-s1,1.1793433096875838,medium,18,0.6239360997904144,0.5972222222222222,0.4214997620197767,0.2732281630524224
116,arc-agi-2,38007db0_0,arc-agi-2/38007db0_0,1.1755937051438985,hard,20,0.2606350900269232,0.3,0.3549647869859769,0.4321673796963831
117,mmmlu,mmmlu-hi-in-00068,mmmlu/mmmlu-hi-in-00068,1.175081703970634,medium,17,0.6798912341821148,0.7009804117647059,0.4132791926535376,0.2791102036247886
118,kumo,beverageenv-t4-a6-v1-s0,kumo/beverageenv-t4-a6-v1-s0,1.166115807956723,easy,20,0.8938258482005541,0.9,0.2549509756796392,0.7227032938155454
119,swebench-verified,django__django-16100,swebench-verified/django__django-16100,1.1644756432981083,medium,20,0.655432671004246,0.6300000000000001,0.3648287269390939,0.3111853778974758
120,mmmlu,mmmlu-sw-ke-00135,mmmlu/mmmlu-sw-ke-00135,1.1625757867660549,medium,16,0.6311308734151516,0.5885416875,0.4119195766532768,0.2698869793435473
